student_id,gender,age,department,cgpa,backlogs,attendance_percentage,programming_skills,dsa_skills,core_subjects,projects_completed,internships,certifications,communication_skills,leadership,teamwork,hackathons,extracurricular_score,aptitude_score,interview_score,resume_score,mock_interview_score,placement_status,package_lpa
1,Male,22,Civil,7.46,0,67.72,4,8,4,5,0,4,1,1,8,3,3,96,63,3,8,0,0.0
2,Female,22,ECE,6.86,3,66.09,9,6,7,3,3,0,2,2,9,2,6,43,61,10,6,1,3.04
3,Male,23,ECE,7.2,0,86.59,8,5,10,3,0,2,1,10,8,1,8,50,84,10,7,0,0.0
4,Male,22,CSE,9.75,0,76.38,9,10,10,1,3,3,10,9,6,2,6,66,87,5,5,1,12.16
5,Male,24,IT,8.6,0,88.4,6,8,3,5,1,4,8,9,7,1,10,96,44,5,6,1,5.62
6,Female,22,CSE,7.07,0,70.26,2,2,8,4,2,4,8,5,4,1,3,55,48,5,2,0,0.0
7,Male,24,Mechanical,7.2,4,72.99,8,7,7,3,2,3,1,10,4,3,3,61,43,9,7,0,0.0
8,Male,22,ECE,7.4,5,95.87,1,1,3,5,3,0,7,7,3,4,5,32,95,10,8,0,0.0
9,Male,24,EEE,8.16,4,76.87,5,7,9,3,0,2,3,4,10,1,10,85,74,3,9,0,0.0
10,Female,22,Civil,7.24,4,83.64,2,6,10,2,0,5,3,6,9,4,3,53,36,2,7,0,0.0
11,Male,22,Mechanical,8.29,3,64.27,7,4,5,5,2,4,2,10,5,1,1,89,77,9,4,1,12.03
12,Male,21,EEE,6.58,3,67.15,5,3,2,2,1,1,2,1,8,1,4,45,43,2,6,0,0.0
13,Male,24,Mechanical,6.97,5,61.44,10,9,9,1,0,5,10,6,3,3,3,54,55,3,6,1,9.96
14,Male,24,CSE,9.15,5,76.97,3,6,8,3,1,5,6,10,4,0,6,93,68,9,7,1,5.93
15,Female,24,CSE,6.58,0,99.56,7,6,8,0,3,0,5,3,3,1,5,68,46,8,5,1,7.12
16,Male,20,Civil,9.63,4,94.95,3,1,1,4,1,0,6,10,9,0,2,77,43,7,4,1,14.2
17,Female,22,ECE,5.83,3,85.32,6,5,4,1,1,2,10,8,1,2,2,97,33,2,8,1,8.59
18,Female,24,Civil,6.16,2,94.44,4,7,7,0,2,3,3,8,10,4,10,77,46,7,4,0,0.0
19,Female,20,EEE,7.23,0,83.77,10,4,6,0,1,4,7,7,9,2,2,34,72,1,8,1,5.64
20,Male,21,Mechanical,8.83,1,74.75,2,2,9,1,3,5,10,8,8,1,8,90,62,5,4,1,11.39
21,Female,24,Civil,8.51,4,66.94,9,9,8,1,1,4,4,3,1,3,2,81,48,2,3,1,14.73
22,Male,24,IT,5.84,0,86.12,6,6,9,3,0,1,2,1,10,2,1,84,98,1,9,0,0.0
23,Female,20,IT,6.14,5,67.72,5,9,4,4,0,1,7,8,10,0,6,33,84,7,3,0,0.0
24,Female,22,ECE,7.76,0,76.7,5,8,8,5,2,1,4,5,4,2,5,94,34,7,4,1,4.43
25,Female,21,Civil,6.42,1,93.03,8,1,6,3,3,1,1,3,10,1,3,96,78,1,3,1,9.44
26,Female,24,EEE,7.03,5,65.17,5,2,9,5,0,2,9,8,1,0,4,69,69,7,9,1,5.89
27,Female,22,IT,7.34,2,65.16,8,2,10,5,0,2,1,6,2,3,10,40,32,3,2,0,0.0
28,Female,21,ECE,7.85,3,68.98,8,2,1,0,1,5,1,1,10,4,8,99,85,3,5,1,6.93
29,Female,23,Civil,6.21,3,82.08,1,4,6,5,2,1,7,2,2,0,2,49,60,3,1,0,0.0
30,Female,23,ECE,5.78,1,70.07,4,7,10,3,2,1,7,4,5,2,5,49,79,2,8,0,0.0
31,Male,21,EEE,6.91,1,80.13,9,7,10,3,0,1,9,9,3,3,5,69,66,2,5,1,4.77
32,Male,20,IT,5.39,3,72.08,2,1,2,4,2,5,5,9,8,0,4,63,66,3,1,0,0.0
33,Female,21,IT,7.53,2,80.25,4,8,3,2,2,4,2,10,2,3,2,36,54,5,10,0,0.0
34,Female,21,IT,9.03,2,71.11,4,4,9,4,0,2,8,2,10,2,5,76,54,1,7,1,14.56
35,Female,20,CSE,5.57,0,99.2,1,8,5,3,2,0,3,1,5,2,1,77,90,7,7,0,0.0
36,Male,20,IT,5.54,1,79.71,10,10,5,2,3,2,5,1,6,3,6,58,92,3,3,1,6.96
37,Female,22,Mechanical,5.39,1,89.75,10,9,1,5,2,5,6,2,10,2,4,76,74,2,10,1,5.04
38,Male,22,CSE,9.07,1,88.02,7,7,10,0,2,2,3,10,5,0,6,31,88,4,10,0,0.0
39,Male,20,Civil,5.39,5,79.62,1,3,2,4,0,5,6,4,1,3,8,33,39,7,7,0,0.0
40,Male,23,CSE,9.72,3,69.55,5,3,9,1,3,4,5,9,7,4,6,84,67,7,4,1,11.6
41,Male,23,CSE,6.72,3,80.43,8,5,7,0,3,5,7,8,6,1,6,50,73,6,3,1,4.35
42,Male,21,CSE,6.58,3,87.24,4,7,4,2,2,4,10,3,10,1,7,96,64,10,4,1,15.0
43,Female,24,ECE,5.44,2,78.4,5,7,7,0,1,1,2,1,4,3,1,70,47,1,9,0,0.0
44,Female,21,Mechanical,7.81,3,63.28,10,9,10,1,1,3,8,6,10,2,10,79,54,5,10,1,6.87
45,Female,21,EEE,7.81,0,60.72,3,1,2,1,0,2,6,10,7,0,10,55,64,1,9,0,0.0
46,Female,24,IT,7.37,5,73.12,5,3,5,4,3,3,1,7,10,4,7,50,81,5,6,0,0.0
47,Female,20,CSE,6.49,3,66.01,3,1,9,5,0,0,2,2,7,0,8,49,53,4,4,0,0.0
48,Male,23,EEE,6.77,5,96.25,4,6,2,4,1,1,3,6,10,2,6,81,66,3,1,0,0.0
49,Female,21,ECE,6.54,5,67.03,3,10,3,3,2,2,3,8,9,4,9,76,48,1,10,0,0.0
50,Female,24,EEE,7.05,2,75.77,5,7,5,3,0,4,10,1,1,1,2,52,64,5,5,1,7.18
51,Male,22,CSE,6.64,1,88.48,2,2,5,0,0,4,3,8,6,0,7,46,75,5,7,0,0.0
52,Female,21,Civil,8.24,5,92.62,9,9,8,1,2,3,5,3,6,0,2,60,82,7,8,1,3.89
